Job Catogery,Job Title,Corp,Job Location,Work Time
Banking-Jobs,Senior Treasury Accountant,Interact Technology Solutions -,"Maadi, Cairo, Egypt",Full Time
Banking-Jobs,Senior Accountant,Confidential -,"Mohandessin, Giza, Egypt",Full Time
Banking-Jobs,Accounting Supervisor,Confidential -,"Cairo, Egypt",Full Time
Banking-Jobs,General Accountant,Confidential -,"Bourj Alarab, Alexandria, Egypt",Full Time
Banking-Jobs,Ass. Accounting Manager,Confidential -,"6th of October, Giza, Egypt",Full Time
Banking-Jobs,Finance Manager,Koudijs Kapo Feed -,"Bourj Alarab, Alexandria, Egypt",Full Time
Banking-Jobs,Credit Controller,Otis Elevator Company -,"Cairo, Egypt",Full Time
Banking-Jobs,Senior Java developer - Microservices,Ejada  -,"Cairo, Egypt",Full Time
Banking-Jobs,Accounting Manager,Mazaya -,"New Cairo, Cairo, Egypt",Full Time
Banking-Jobs,Bid Manager,ITS  -,"Nasr City, Cairo, Egypt",Full Time
Banking-Jobs,Application Delivery Specialist _ 6 Months,A1Softech -,"6th of October, Giza, Egypt",Freelance / Project
Banking-Jobs,Cash Management & Banking Relations Senior Officer,Ghabbour Auto -,"Abu Rawash, Giza, Egypt",Full Time
Banking-Jobs,Banking Relationships manager,Confidential -,"New Cairo, Cairo, Egypt",Full Time
Banking-Jobs,Senior Treasury Accountant,Ibn Sina Pharma -,"New Cairo, Cairo, Egypt",Full Time
Banking-Jobs,Treasury Senior Accountant,Partner & More -,"New Cairo, Cairo, Egypt",Full Time
Banking-Jobs,Senior SIT and Testing engineer,Masria Digital Payment (MDP) -,"New Cairo, Cairo, Egypt",Full Time
Banking-Jobs,Junior SIT and Testing engineer,Masria Digital Payment (MDP) -,"New Cairo, Cairo, Egypt",Full Time
Banking-Jobs,Senior Internal Auditor,Al Ahly capital holding - Al Ahly Tamkeen -,"Zamalek, Cairo, Egypt",Full Time
Banking-Jobs,POS Acquiring Implementation Assistant Manager,Masria Digital Payment (MDP) -,"New Cairo, Cairo, Egypt",Full Time
Banking-Jobs,Senior POS Acquiring Implementation Engineer,Masria Digital Payment (MDP) -,"New Cairo, Cairo, Egypt",Full Time
Banking-Jobs,Junior POS Acquiring Implementation Engineer,Masria Digital Payment (MDP) -,"New Cairo, Cairo, Egypt",Full Time
Banking-Jobs,Senior Payment systems Implementation Engineer,Masria Digital Payment (MDP) -,"New Cairo, Cairo, Egypt",Full Time
Banking-Jobs,ATM Acquiring Implementation Assistant Manager,Masria Digital Payment (MDP) -,"New Cairo, Cairo, Egypt",Full Time
Banking-Jobs,Senior ATM Acquiring Implementation Engineer,Masria Digital Payment (MDP) -,"New Cairo, Cairo, Egypt",Full Time
